"ativo";"Pesos";"Retorno";"Volatilidade"
"AZEV4.SA";0,62;0,04;6,3
"BAUH4.SA";1,47;0,09;3,97
"BGIP4.SA";1,44;0,06;2,73
"BIOM3.SA";0,8;0,06;3,8
"BRKM5.SA";0,74;0,07;2,54
"CGAS5.SA";1,16;0,05;1,64
"CRIV4.SA";1,18;0,04;1,92
"CRPG5.SA";0,58;0,06;4,21
"CTSA3.SA";0,12;0,03;2,76
"DOHL4.SA";1,84;0,05;2,41
"EALT4.SA";1,35;0,04;2,57
"EMAE4.SA";0,18;0,04;3,01
"ENMT4.SA";5,57;0,07;2,13
"EQTL3.SA";8,42;0,09;1,59
"GRND3.SA";0,1;0,06;1,79
"HBTS5.SA";2,26;0,08;3,55
"KLBN4.SA";2,84;0,04;1,25
"MDIA3.SA";0,07;0,06;1,82
"PNVL3.SA";4,05;0,06;2,22
"PTNT4.SA";0,76;0,06;3,42
"RADL3.SA";4,65;0,09;1,99
"RANI3.SA";0,59;0,04;2,7
"SAPR4.SA";3,18;0,1;2,32
"SLCE3.SA";2,65;0,08;2,18
"STBP3.SA";3,9;0,1;3,01
"SUZB3.SA";22,55;0,07;1,12
"TAEE11.SA";5,5;0,07;1,64
"TEND3.SA";11,4;0,06;1,18
"UGPA3.SA";0,2;0,06;2,01
"UNIP6.SA";7,16;0,14;2,38
"WEGE3.SA";1,66;0,07;1,71
"WHRL4.SA";0,99;0,05;2,48
