"Setor";"Total de Empresas";"Retorno Médio Diário";"Volatilidade Média Diária"
"Consumo Cíclico";44;"-0,0472%";"3,28%"
"Financeiro";35;"-0,0021%";"2,46%"
"Bens Industriais";32;"-0,0392%";"3,45%"
"Utilidade Pública";24;"0,0157%";"2,48%"
"Materiais Básicos";21;"-0,0204%";"3,32%"
"Consumo não Cíclico";13;"-0,0019%";"3,1%"
"Saúde";8;"0,0335%";"2,37%"
"Petróleo. Gás e Biocombustíveis";7;"-0,1188%";"4,35%"
"Comunicações";4;"-0,0524%";"3,69%"
"Tecnologia da Informação";3;"-0,0519%";"2,93%"
"Outros";1;"-0,0093%";"8,89%"
