"Estatística";"Fama-French";"Ibovespa";"Mark.";"Mark. - SmallCaps";"Tx. Livre"
"Valor Minímo";"-25,66";"-24,17";"-6,63";" -0,93";" 0,01"
"Quartil 1";"-16,76";" 16,17";"10,30";" 30,50";" 3,99"
"Mediana";"-12,40";" 25,98";"29,03";" 37,42";" 7,94"
"Média Aritmética";" -8,08";" 24,98";"32,08";" 46,06";" 7,90"
"Quartil 3";"  1,32";" 35,50";"54,57";" 57,46";"11,88"
"Valor Máximo";" 10,73";" 52,39";"78,31";"119,48";"15,77"
"Erro Padrão da Média";"  0,36";"  0,50";" 0,87";"  0,97";" 0,16"
"Nvl. de conf. inf. da média (95%)";" -8,79";" 23,99";"30,37";" 44,15";" 7,59"
"Nvl. de conf. sup. da média (95%)";" -7,37";" 25,97";"33,80";" 47,97";" 8,22"
"Variância";"  1,06";"  2,06";" 6,18";"  7,65";" 0,21"
"Desvio Padrão";" 10,29";" 14,35";"24,87";" 27,67";" 4,56"
